pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,10.6000,pct_activos,1997,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,11.4000,pct_activos,1998,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,11.4000,pct_activos,1999,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,10.8000,pct_activos,2000,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,10.4000,pct_activos,2001,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,9.3000,pct_activos,2002,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,8.3000,pct_activos,2003,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,7.6000,pct_activos,2004,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,4.8000,pct_activos,2005,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,4.9000,pct_activos,2006,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,4.7000,pct_activos,2007,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,3.7000,pct_activos,2008,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,2.0000,pct_activos,2009,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,1.6000,pct_activos,2010,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,1.2000,pct_activos,2011,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,0.9000,pct_activos,2012,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,1.2000,pct_activos,2013,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,1.9000,pct_activos,2014,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,2.7000,pct_activos,2015,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,3.1000,pct_activos,2016,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,3.6000,pct_activos,2017,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,3.7000,pct_activos,2018,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,3.7000,pct_activos,2019,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,2.6000,pct_activos,2020,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,3.8000,pct_activos,2021,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,4.6000,pct_activos,2022,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,5.1000,pct_activos,2023,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Pequenas,5.4000,pct_activos,2024,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Medianas,11.1000,pct_activos,1997,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
Espana,empresas_cb,Rentabilidad ordinaria del activo neto | Medianas,10.9000,pct_activos,1998,"Banco de Espana, Central de Balances Integrada",https://datos.bde.es/datos/es/datasets/000/016.html,2026-09-18,,,tamano_empresa_empleados,ratio,media_ponderada_volumen,"ratio R.1 de la CBI; tamano segun la Recomendacion 2003/361/CE. dato del ejercicio, no del anterior"
