pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,prestamos_empresas,Prima PYME (estrecha) | mensual,0.9000,pct_anual,2022-01,"BCE, MIR (ECB Data Portal)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-21,"hasta 0,25 M frente a mas de 1 M (extremos)",Total initial rate fixation,tamano_prestamo,nivel,dato_unico,"DIFERENCIAL de dos niveles de tipo, no un saldo neto de encuesta. Prima de tamano de OPERACION, no de empresa. Definicion estrecha."
Espana,prestamos_empresas,Prima PYME (estrecha) | mensual,0.8700,pct_anual,2022-02,"BCE, MIR (ECB Data Portal)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-21,"hasta 0,25 M frente a mas de 1 M (extremos)",Total initial rate fixation,tamano_prestamo,nivel,dato_unico,"DIFERENCIAL de dos niveles de tipo, no un saldo neto de encuesta. Prima de tamano de OPERACION, no de empresa. Definicion estrecha."
Espana,prestamos_empresas,Prima PYME (estrecha) | mensual,0.7300,pct_anual,2022-03,"BCE, MIR (ECB Data Portal)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-21,"hasta 0,25 M frente a mas de 1 M (extremos)",Total initial rate fixation,tamano_prestamo,nivel,dato_unico,"DIFERENCIAL de dos niveles de tipo, no un saldo neto de encuesta. Prima de tamano de OPERACION, no de empresa. Definicion estrecha."
Espana,prestamos_empresas,Prima PYME (estrecha) | mensual,0.9900,pct_anual,2022-04,"BCE, MIR (ECB Data Portal)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-21,"hasta 0,25 M frente a mas de 1 M (extremos)",Total initial rate fixation,tamano_prestamo,nivel,dato_unico,"DIFERENCIAL de dos niveles de tipo, no un saldo neto de encuesta. Prima de tamano de OPERACION, no de empresa. Definicion estrecha."
Espana,prestamos_empresas,Prima PYME (estrecha) | mensual,0.6800,pct_anual,2022-05,"BCE, MIR (ECB Data Portal)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-21,"hasta 0,25 M frente a mas de 1 M (extremos)",Total initial rate fixation,tamano_prestamo,nivel,dato_unico,"DIFERENCIAL de dos niveles de tipo, no un saldo neto de encuesta. Prima de tamano de OPERACION, no de empresa. Definicion estrecha."
Espana,prestamos_empresas,Prima PYME (estrecha) | mensual,0.5100,pct_anual,2022-06,"BCE, MIR (ECB Data Portal)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-21,"hasta 0,25 M frente a mas de 1 M (extremos)",Total initial rate fixation,tamano_prestamo,nivel,dato_unico,"DIFERENCIAL de dos niveles de tipo, no un saldo neto de encuesta. Prima de tamano de OPERACION, no de empresa. Definicion estrecha."
Espana,prestamos_empresas,Prima PYME (estrecha) | mensual,0.5200,pct_anual,2022-07,"BCE, MIR (ECB Data Portal)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-21,"hasta 0,25 M frente a mas de 1 M (extremos)",Total initial rate fixation,tamano_prestamo,nivel,dato_unico,"DIFERENCIAL de dos niveles de tipo, no un saldo neto de encuesta. Prima de tamano de OPERACION, no de empresa. Definicion estrecha."
Espana,prestamos_empresas,Prima PYME (estrecha) | mensual,0.6900,pct_anual,2022-08,"BCE, MIR (ECB Data Portal)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-21,"hasta 0,25 M frente a mas de 1 M (extremos)",Total initial rate fixation,tamano_prestamo,nivel,dato_unico,"DIFERENCIAL de dos niveles de tipo, no un saldo neto de encuesta. Prima de tamano de OPERACION, no de empresa. Definicion estrecha."
Espana,prestamos_empresas,Prima PYME (estrecha) | mensual,0.2800,pct_anual,2022-09,"BCE, MIR (ECB Data Portal)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-21,"hasta 0,25 M frente a mas de 1 M (extremos)",Total initial rate fixation,tamano_prestamo,nivel,dato_unico,"DIFERENCIAL de dos niveles de tipo, no un saldo neto de encuesta. Prima de tamano de OPERACION, no de empresa. Definicion estrecha."
Espana,prestamos_empresas,Prima PYME (estrecha) | mensual,0.3100,pct_anual,2022-10,"BCE, MIR (ECB Data Portal)",https://data.ecb.europa.eu/data/datasets/MIR,2026-09-21,"hasta 0,25 M frente a mas de 1 M (extremos)",Total initial rate fixation,tamano_prestamo,nivel,dato_unico,"DIFERENCIAL de dos niveles de tipo, no un saldo neto de encuesta. Prima de tamano de OPERACION, no de empresa. Definicion estrecha."
