pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Francia,factoring,Volumen cedido (turnover) | serie historica EUF,121600.0,eur_millones,2007,"EUF, EU Federation for Factoring, 'EU Turnover per country since 2007' (2025 de la tabla anual)",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-21,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo. Etiqueta EUF del pais: 'France*'"
Francia,factoring,Volumen cedido (turnover) | serie historica EUF,135000.0,eur_millones,2008,"EUF, EU Federation for Factoring, 'EU Turnover per country since 2007' (2025 de la tabla anual)",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-21,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo. Etiqueta EUF del pais: 'France*'"
Francia,factoring,Volumen cedido (turnover) | serie historica EUF,128182.0,eur_millones,2009,"EUF, EU Federation for Factoring, 'EU Turnover per country since 2007' (2025 de la tabla anual)",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-21,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo. Etiqueta EUF del pais: 'France*'"
Francia,factoring,Volumen cedido (turnover) | serie historica EUF,153252.0,eur_millones,2010,"EUF, EU Federation for Factoring, 'EU Turnover per country since 2007' (2025 de la tabla anual)",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-21,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo. Etiqueta EUF del pais: 'France*'"
Francia,factoring,Volumen cedido (turnover) | serie historica EUF,174580.0,eur_millones,2011,"EUF, EU Federation for Factoring, 'EU Turnover per country since 2007' (2025 de la tabla anual)",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-21,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo. Etiqueta EUF del pais: 'France*'"
Francia,factoring,Volumen cedido (turnover) | serie historica EUF,186494.0,eur_millones,2012,"EUF, EU Federation for Factoring, 'EU Turnover per country since 2007' (2025 de la tabla anual)",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-21,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo. Etiqueta EUF del pais: 'France*'"
Francia,factoring,Volumen cedido (turnover) | serie historica EUF,200459.0,eur_millones,2013,"EUF, EU Federation for Factoring, 'EU Turnover per country since 2007' (2025 de la tabla anual)",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-21,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo. Etiqueta EUF del pais: 'France*'"
Francia,factoring,Volumen cedido (turnover) | serie historica EUF,226598.0,eur_millones,2014,"EUF, EU Federation for Factoring, 'EU Turnover per country since 2007' (2025 de la tabla anual)",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-21,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo. Etiqueta EUF del pais: 'France*'"
Francia,factoring,Volumen cedido (turnover) | serie historica EUF,248194.0,eur_millones,2015,"EUF, EU Federation for Factoring, 'EU Turnover per country since 2007' (2025 de la tabla anual)",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-21,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo. Etiqueta EUF del pais: 'France*'"
Francia,factoring,Volumen cedido (turnover) | serie historica EUF,268160.4,eur_millones,2016,"EUF, EU Federation for Factoring, 'EU Turnover per country since 2007' (2025 de la tabla anual)",https://euf.eu.com/data-statistics/annual-factoring-data.html,2026-09-21,,,n/a,volumen,dato_unico,"importe CEDIDO en el ano, no saldo vivo. Etiqueta EUF del pais: 'France*'"
